Series Name,Country Name,Number of Arrivals 
"International tourism, number of arrivals",Afghanistan,..
"International tourism, number of arrivals",Albania,6406000
"International tourism, number of arrivals",Algeria,2371000
"International tourism, number of arrivals",American Samoa,52700.00076
"International tourism, number of arrivals",Andorra,8235000
"International tourism, number of arrivals",Angola,218000
"International tourism, number of arrivals",Antigua and Barbuda,1035000
"International tourism, number of arrivals",Argentina,7399000
"International tourism, number of arrivals",Armenia,1894000
"International tourism, number of arrivals",Aruba,1951000
"International tourism, number of arrivals",Australia,9466000
"International tourism, number of arrivals",Austria,31884000
"International tourism, number of arrivals",Azerbaijan,3170000
"International tourism, number of arrivals","Bahamas, The",7250000
"International tourism, number of arrivals",Bahrain,11061000
"International tourism, number of arrivals",Bangladesh,323000
"International tourism, number of arrivals",Barbados,966000
"International tourism, number of arrivals",Belarus,11832000
"International tourism, number of arrivals",Belgium,9343000
"International tourism, number of arrivals",Belize,1674000
"International tourism, number of arrivals",Benin,337000
"International tourism, number of arrivals",Bermuda,805000
"International tourism, number of arrivals",Bhutan,316000
"International tourism, number of arrivals",Bolivia,1239000
"International tourism, number of arrivals",Bosnia and Herzegovina,1198000
"International tourism, number of arrivals",Botswana,..
"International tourism, number of arrivals",Brazil,6353000
"International tourism, number of arrivals",British Virgin Islands,302399.9939
"International tourism, number of arrivals",Brunei Darussalam,333000
"International tourism, number of arrivals",Bulgaria,12552000
"International tourism, number of arrivals",Burkina Faso,143000
"International tourism, number of arrivals",Burundi,..
"International tourism, number of arrivals",Cabo Verde,758000
"International tourism, number of arrivals",Cambodia,6611000
"International tourism, number of arrivals",Cameroon,..
"International tourism, number of arrivals",Canada,32430000
"International tourism, number of arrivals",Cayman Islands,2334000
"International tourism, number of arrivals",Central African Republic,..
"International tourism, number of arrivals",Chad,..
"International tourism, number of arrivals",Channel Islands,..
"International tourism, number of arrivals",Chile,5431000
"International tourism, number of arrivals",China,162538000
"International tourism, number of arrivals",Colombia,4529000
"International tourism, number of arrivals",Comoros,45099.99847
"International tourism, number of arrivals","Congo, Dem. Rep.",..
"International tourism, number of arrivals","Congo, Rep.",..
"International tourism, number of arrivals",Costa Rica,3366000
"International tourism, number of arrivals",Cote d'Ivoire,2070000
"International tourism, number of arrivals",Croatia,60021000
"International tourism, number of arrivals",Cuba,4276000
"International tourism, number of arrivals",Curacao,1293000
"International tourism, number of arrivals",Cyprus,4117000
"International tourism, number of arrivals",Czech Republic,..
"International tourism, number of arrivals",Denmark,32903000
"International tourism, number of arrivals",Djibouti,..
"International tourism, number of arrivals",Dominica,322000
"International tourism, number of arrivals",Dominican Republic,7550000
"International tourism, number of arrivals",Ecuador,2108000
"International tourism, number of arrivals","Egypt, Arab Rep.",13026000
"International tourism, number of arrivals",El Salvador,2639000
"International tourism, number of arrivals",Equatorial Guinea,..
"International tourism, number of arrivals",Eritrea,..
"International tourism, number of arrivals",Estonia,6103000
"International tourism, number of arrivals",Eswatini,1226000
"International tourism, number of arrivals",Ethiopia,812000
"International tourism, number of arrivals",Faroe Islands,..
"International tourism, number of arrivals",Fiji,969000
"International tourism, number of arrivals",Finland,3290000
"International tourism, number of arrivals",France,..
"International tourism, number of arrivals",French Polynesia,300000
"International tourism, number of arrivals",Gabon,..
"International tourism, number of arrivals","Gambia, The",619000
"International tourism, number of arrivals",Georgia,7726000
"International tourism, number of arrivals",Germany,39563000
"International tourism, number of arrivals",Ghana,..
"International tourism, number of arrivals",Gibraltar,..
"International tourism, number of arrivals",Greece,34005000
"International tourism, number of arrivals",Greenland,..
"International tourism, number of arrivals",Grenada,526000
"International tourism, number of arrivals",Guam,1667000
"International tourism, number of arrivals",Guatemala,2560000
"International tourism, number of arrivals",Guinea,..
"International tourism, number of arrivals",Guinea-Bissau,52400.00153
"International tourism, number of arrivals",Guyana,315000
"International tourism, number of arrivals",Haiti,938000
"International tourism, number of arrivals",Honduras,2315000
"International tourism, number of arrivals","Hong Kong SAR, China",55913000
"International tourism, number of arrivals",Hungary,61397000
"International tourism, number of arrivals",Iceland,2202000
"International tourism, number of arrivals",India,17914000
"International tourism, number of arrivals",Indonesia,16107000
"International tourism, number of arrivals","Iran, Islamic Rep.",9107000
"International tourism, number of arrivals",Iraq,..
"International tourism, number of arrivals",Ireland,10951000
"International tourism, number of arrivals",Isle of Man,..
"International tourism, number of arrivals",Israel,4905000
"International tourism, number of arrivals",Italy,95399000
"International tourism, number of arrivals",Jamaica,4233000
"International tourism, number of arrivals",Japan,31882000
"International tourism, number of arrivals",Jordan,5361000
"International tourism, number of arrivals",Kazakhstan,8515000
"International tourism, number of arrivals",Kenya,2049000
"International tourism, number of arrivals",Kiribati,12000
"International tourism, number of arrivals","Korea, Dem. People’s Rep.",..
"International tourism, number of arrivals","Korea, Rep.",17503000
"International tourism, number of arrivals",Kosovo,..
"International tourism, number of arrivals",Kuwait,8565000
"International tourism, number of arrivals",Kyrgyz Republic,8508000
"International tourism, number of arrivals",Lao PDR,4791000
"International tourism, number of arrivals",Latvia,8342000
"International tourism, number of arrivals",Lebanon,1936000
"International tourism, number of arrivals",Lesotho,1142000
"International tourism, number of arrivals",Liberia,..
"International tourism, number of arrivals",Libya,..
"International tourism, number of arrivals",Liechtenstein,98099.99847
"International tourism, number of arrivals",Lithuania,6150000
"International tourism, number of arrivals",Luxembourg,1041000
"International tourism, number of arrivals","Macao SAR, China",39406000
"International tourism, number of arrivals",Madagascar,486000
"International tourism, number of arrivals",Malawi,..
"International tourism, number of arrivals",Malaysia,26101000
"International tourism, number of arrivals",Maldives,1703000
"International tourism, number of arrivals",Mali,217000
"International tourism, number of arrivals",Malta,3519000
"International tourism, number of arrivals",Marshall Islands,6099.999905
"International tourism, number of arrivals",Mauritania,..
"International tourism, number of arrivals",Mauritius,1418000
"International tourism, number of arrivals",Mexico,97406000
"International tourism, number of arrivals","Micronesia, Fed. Sts.",18000
"International tourism, number of arrivals",Moldova,174000
"International tourism, number of arrivals",Monaco,363000
"International tourism, number of arrivals",Mongolia,637000
"International tourism, number of arrivals",Montenegro,2510000
"International tourism, number of arrivals",Morocco,13109000
"International tourism, number of arrivals",Mozambique,2033000
"International tourism, number of arrivals",Myanmar,4364000
"International tourism, number of arrivals",Namibia,1651000
"International tourism, number of arrivals",Nauru,..
"International tourism, number of arrivals",Nepal,1197000
"International tourism, number of arrivals",Netherlands,20129000
